CURSO;MODULO;URL;LINEA
ANCESTROS Y RAICES;49;https://video.wixstatic.com/video/4ea8bc_521aea3a69c349ad89dc4bcaa1d681c8/720p/mp4/file.mp4;DIPLOMADOS
HOLOPSICOSOMATICA 2020;1;https://video.wixstatic.com/video/4ea8bc_7d7c70bf32c54778965f9ccbbbcd7f8d/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;2;https://video.wixstatic.com/video/4ea8bc_57816b3b14524e27b1c1bc1a8437d6e0/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;3;https://video.wixstatic.com/video/4ea8bc_3f4bf35532a14171a609dc30a61e6d44/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;4;https://video.wixstatic.com/video/4ea8bc_0cb5f84b099a43468105dfdfc619137d/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;5;https://video.wixstatic.com/video/4ea8bc_9dfbd49002ac43c1998bd8623cf39204/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;6;https://video.wixstatic.com/video/4ea8bc_f46fe647bb19425bb3d588936cb0fd5f/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;7;https://video.wixstatic.com/video/4ea8bc_5e207ef3760d446fbd81498a95dec03a/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;8;https://video.wixstatic.com/video/4ea8bc_082f09bed88641048f0225c75be0881a/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;9;https://video.wixstatic.com/video/4ea8bc_658ef90127984a0b923e28ff99536d30/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;10;https://video.wixstatic.com/video/4ea8bc_d0a30279e2fc4101b1f24da279c3c60d/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;11;https://video.wixstatic.com/video/4ea8bc_709f3121ff0340989a465bb96ee7b196/720p/mp4/file.mp4;SALUD
HOLOPSICOSOMATICA 2020;12;https://video.wixstatic.com/video/4ea8bc_cf4d343285af4067a0a0fafc448e959e/720p/mp4/file.mp4;SALUD
NUMERHOLOGIA;1;https://video.wixstatic.com/video/4ea8bc_f05150d79d7c4d0fa3d4ad3ef5e5680d/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;2;https://video.wixstatic.com/video/4ea8bc_928e80cbe97348f097cdd79c7ad5d0cf/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;3;https://video.wixstatic.com/video/4ea8bc_f56b310c0888491ea98cf33756b15e27/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;4;https://video.wixstatic.com/video/4ea8bc_03e41b476f8543478010b5f42d74deba/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;5;https://video.wixstatic.com/video/4ea8bc_d451a930e3db4f72a055d1a1db54ace5/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;6;https://video.wixstatic.com/video/4ea8bc_f6d7821452ba4e6e9a19c47608643086/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;7;https://video.wixstatic.com/video/4ea8bc_585719480ac04006bc7c1a92cb1d99d7/720p/mp4/file.mp4;MÍSTICA
NUMERHOLOGIA;8;https://video.wixstatic.com/video/4ea8bc_a3fefbcaf4e344dd9d27e70da59e2eff/720p/mp4/file.mp4;MÍSTICA
TALLER NUMEROLOGIA;1;https://video.wixstatic.com/video/4f588e_6ddf68c469ab4d5b8f53fbbee34aaa1d/720p/mp4/file.mp4;MÍSTICA
TALLER NUMEROLOGIA;2;https://video.wixstatic.com/video/4f588e_67a0f8eb30994e31ae6b69a62599e82a/720p/mp4/file.mp4;MÍSTICA
TALLER NUMEROLOGIA;3;https://video.wixstatic.com/video/4f588e_3faec0849adf45ad9fcf4dfd66b3f91d/720p/mp4/file.mp4;MÍSTICA
MEDICINA ENERGÉTICA;1;https://video.wixstatic.com/video/4ea8bc_76bd5ef1e5cc42cb9e3e01aa7b5e06aa/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;2;https://video.wixstatic.com/video/4ea8bc_d68a4b2a44cb4c5289fd453f1bfd50ab/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;3;https://video.wixstatic.com/video/4ea8bc_130303edabc34be5b1b8847f76406980/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;4;https://video.wixstatic.com/video/4ea8bc_11ad6d153a7f4d6ba11924c07c5f1eb2/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;5;https://video.wixstatic.com/video/4ea8bc_8b4cc384aa7b48a8a13e38931611dec2/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;6;https://video.wixstatic.com/video/4ea8bc_978986931bd14494bfb75e13635cf6a4/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;7;https://video.wixstatic.com/video/4ea8bc_a721106484eb4bdf901e9321e9fbe9a4/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;8;https://video.wixstatic.com/video/4ea8bc_9e1b37daa6064c40b97ca1ab8600e2dc/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;9;https://video.wixstatic.com/video/4ea8bc_127dd16632de4698ad0b4a69d8e9c2de/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;10;https://video.wixstatic.com/video/4ea8bc_763eb9ef3d914a43beb69df34cc5fb0e/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;11;https://video.wixstatic.com/video/4ea8bc_64ce3d8e883044899403e5f3a2d22cdb/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;12;https://video.wixstatic.com/video/4ea8bc_500bd1fcd16942bb90891d2acea13b41/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;13;https://video.wixstatic.com/video/4ea8bc_d8d79274d8524fbfb0261c6d486d015c/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;14;https://video.wixstatic.com/video/4ea8bc_881b55e68d2844e3833248318b30d4d7/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;15;https://video.wixstatic.com/video/4ea8bc_c244acd504dd464f89d1234817382a8d/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;16;https://video.wixstatic.com/video/4ea8bc_308004092a5340148908e4a1e48b4660/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;17;https://video.wixstatic.com/video/4ea8bc_066b4bbb8e9c4c8e8a38197ca307d490/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;18;https://video.wixstatic.com/video/4ea8bc_77dc78ec0fe44138827d61dae0d864b5/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;19;https://video.wixstatic.com/video/4ea8bc_fc94fded315c4680a02ed3d1e280501e/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;20;https://video.wixstatic.com/video/4ea8bc_dbb764bef3644da1a0f90034a4e3da03/480p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;21;https://video.wixstatic.com/video/4ea8bc_15859a9fa2aa4dd1bd8cd9928aecc93b/480p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;22;https://video.wixstatic.com/video/4ea8bc_cadb41bc2b854780a55d2d35fe80aca1/480p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;23;https://video.wixstatic.com/video/4ea8bc_7d93c3022f454ed48198566507f67e4c/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;24;https://video.wixstatic.com/video/4ea8bc_0cf11bc296f34077a4d2abe1c03fb274/720p/mp4/file.mp4;SALUD
MEDICINA ENERGÉTICA;25;https://video.wixstatic.com/video/4ea8bc_4aa54bb7b650481da68ded920e490f5b/720p/mp4/file.mp4;SALUD
TALLER MEDICINA NATURISTA;1;https://video.wixstatic.com/video/b5f93e_9d885b77e48448c4837cabca79cedd95/720p/mp4/file.mp4;SALUD
